Country,Company Name,Sector,Product Categories,Phone,Email,Address,Certifications,Production Capacity,Other
Kuwait,Sa’ad Murshad General Trade & Construction Establishment,Basic Metal Industries,Interior & Exterior Signs – Safety Signs – Road Markings – Metal Works,(+965) 23988171 – 23263888,mail@ smurshedest.com,West Industrial Shuaiba – Block 5 – P.O. Box 9716 Ahmadi 61008 Kuwait,N/A,N/A,Fax: (+965) 23988172 – 23263880; Website: www.smurshedest.com
Kuwait,Sofan Steel and Metal Furniture Factory,Basic Metal Industries,Steel pipes – Hollow sections – Galvanized steel sheets – Corrugated sheets – Decoration steel,(+965) 24763841 / 91 - 24812337,faid@sofansteel.com,Al Rai – Block 1 – Plot 1822 - P.O. Box 42087 Shuwaikh 70651 , Kuwait,N/A,N/A,Fax: (+965) 24763868 - 24831139; Website: www.sofansteel.com
Kuwait,Specialties Expanded Metal Factory (Kumex),Basic Metal Industries,Metal Lath – Angle Beads – Brick Mesh – Plaster stop,(+965 ) 24565145/ 65,technical@aspeckuwait.com,Amghara Industrial Area – Block 4 – Plot 106 , 108 , 110 - P.O. Box 23595 Safat 13096 , Kuwait,N/A,N/A,Fax: ( +965 ) 24565135; Website: www.kumex.net
Kuwait,Steel Panel Center,Basic Metal Industries,Insulated Sandwich Panels – Corrugated & Plain Sheet Iron – Pre-Fabricated Buildings – Al,(+965) 24828200 – 24827532,nblramadan@yahoo.com,Shuwaikh Industrial Area – Mohammad Ben Al Qasim Street –P.O. Box 399 Dasman 15454 Kuwait,N/A,N/A,Fax: (+965) 24828201; Website: www.spckuwait.com
Kuwait,United Steel Industrial Company,Basic Metal Industries,Reinforced steel bars,(+965) 22422200 – 22444231,commercial@unisteelkuwait.com,Shuaiba Industrial Area –Block 4 – Plot 71 – P.O. Box 1370 Safat 13014 Kuwait,N/A,N/A,Fax: (+965) 22444232; Website: www.unisteelkuwait.com
Kuwait,Universal Steel Factory,Basic Metal Industries,Stainless Steel Tanks – Stainless Steel Trolleys –Stainless Steel Insulated Water Coolers – Water Heater Tanks – Stainless Steel Cooking Equipments – Stainless steel Tankers – Stainless Steel / Carbon Steel Pipes & Fittings – Stainless Steel Decoration,(+965) 22650372 / 3,universal-steel-architect@hotmail.com,West Industrial Shuaiba – Block 5 – P.O. Box 511 Surra 45706 Kuwait,N/A,N/A,Fax: (+965) 25352442
Kuwait,Kuwait Cement Company,Non Metal Mining,Ordinary Portland cement – Sulphate resisting cement – Al- Ramadi (Masonry cement) – Clinker,(+965 ) 22401700 - 23261621,alcement@kuwait-cement.com,Kuwait City -Cement House -at the intersection of Al- Shuhada Street with Khaled Ibn Al-Waleed Street, Al-Sawaber Area- P.O. Box 20581 Safat 13066 Kuwait,N/A,N/A,Fax: (+965) 22432956 - 22440896; Website: www.Kuwait-cement.com
Kuwait,Metal Products Company,Non Metal Mining,Gypsum Ceiling Tiles,(+965) 24731287 – 24737916,mpc@kems.net,Sabhan – Block 6 – Street 62 - P.O. Box 3973 Safat 13040 Kuwait,N/A,N/A,Fax: (+965) 24737932; Website: www.mpckw.com
Kuwait,National Industries Company for Building Materials,Non Metal Mining,Al-Abyad Blocks – Sand Lime Bricks – Interlock Tiles,(+965) 1844555 – 24837099,Sales@nicbm.com,Shuwaikh – Crossroads of Jahra Road and Airport Road – P.O. Box 3314 Safat 13034 Kuwait,N/A,N/A,Fax: (+965) 24833498; Website: www.nicbm.com
Kuwait,Quality International Plant,Non Metal Mining,Concrete mix (all grades) –Swift Crete mix – Crack resisting mix – splash mix – screed mix- raw materials (washed sand and gravel of different sizes),(+965) 24580887,info@qiplant.com,Amghara Industrial Area – Block 4 – Plot 19 , 20 - P.O. Box 66678 Bayan, Kuwait,N/A,N/A,Fax: (+965) 24560887; Website: www.qiplant.com
Kuwait,Abbas Ali A-Hazeem & Partners Co. for Mattresses,Other Manufacturing Industries,Spring Mattresses – Headboards & Boxes – Bedrooms – Sofa Sets,(+965) 24731309 - 24738712,hazeem@qualitynet.com,Sabhan – Block 2- Street 21 –P.O. Box 497 Farwaniah Kuwait,N/A,N/A,Fax: (+965) 24735732
Kuwait,Al-Baghli Sponge Manufacturing Company,Other Manufacturing Industries,Spring Mattresses – Polyester Pillows & Quilts,(+965 ) 24761444,sponge@albaghli.com,Sabhan – Block 2 – Street 101 – P.O. Box 29920 Safat 13160 Kuwait,N/A,N/A,Fax: (+965 ) 24762999; Website: www.albaghli-sponge.net
Kuwait,Domain General Trading & Contracting Co.,Other Manufacturing Industries,Furniture & Interior Design,(+965) 24717566 - 24717552,domainkwt@yahoo.com,Sabhan – Block 6 – Street 61 – P.O. Box 3783 Hawali 32069 Kuwait,N/A,N/A,Fax: (+965) 24717498; Website: www.dominkwt.com
Kuwait,Final Touches Co.,Other Manufacturing Industries,Furniture – Curtains – Accessories – Fabrics – Execution of interior designs,(+965) 24821143 - 1808899,finaltouches@usa.com,Shuwaikh –Canadadry Street –Wara Center– P.O. Box 22922 Safat 13090 Kuwait,N/A,N/A,Fax: (+965) 24822081
Kuwait,Mattress & Sofa Industries Co. (Al Fares Industries),Other Manufacturing Industries,Spring & normal mattresses – Divan Base – Head boards / Feet Boards – Sofa sets,(+965 ) 24720871 / 2 / 3 / 4,info@alfaresindustries.com,Sabhan –Block 2 – Street 24 – P.O. Box 2947 Safat 13030 Kuwait,N/A,N/A,Fax: (+965 ) 24720869; Website: www.alfaresindustries.com
Kuwait,Nijaracraft Furniture & joinery,Other Manufacturing Industries,Desks (conferences, reception…etc) – Wall cladding – Vanity cabinets & counters- Solid surfaces (tops, cladding …etc),(+965) 24719884,admin@nijaracraft.com,South Sabhan – Block 8 – Street 103 - P.O. Box 28903 Safat 13150 Kuwait,N/A,N/A,Fax: (+965) 24743863
