Unnamed: 0,Factory Name (En),Factory Name (Ar),Phone Number,Factory Email,Emirate, Products,Unnamed: 7,Unnamed: 8,Unnamed: 9,Activities,Unnamed: 11,Unnamed: 12
,,,,,,20094100,"Pineapple juice, of a Brix value not exceeding 20.",," عصير أناناس,قيمة بريكس لا تزيد عن 20 غير مختمر ولا مضاف إليه كحول، وإن أضيف إليه سكر أو مواد تحلية أخر.",,,
,BARBHAYA INDUSTRIES L.L.C,باربهايا للصناعات ش.ذ.م.م,0555284252,tapes@barbhayaindustries.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39206200,  - - Of poly (ethylene terephthalate),,ـ ـ من بولي( إيثلين تيريفتالات),1709017,صناعة الأشرطة اللاصقة الورقية,Self Adhesive Labels Manufacturing
,,,,,,39191000,- In rolls of a width not exceeding 20 cm ,,ـ لفات لا يتجاوز عرضها 20 سم ,,,
,BARIJ DYNAMICS (INDUSTRIAL) L.L.C.,بارج داينامكس (الصناعية) ذ.م.م,050-4866224,ali.aldahmani@al-tariq.ae,Abu Dhabi,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,85065010,  - - - Dry batteries for portable devices of a voltage1.5 volts  and over,," - - - بطاريات جافة للأجهزة القابلة للحمل قوة 1,5 فولت فأكثر ",3030006,صناعة الصواريخ البالستية والموجهة العسكرية,Missiles Manufacturing
,BARIJ MUNITIONS L.L.C,بارج للذخائر ذ.م.م,025069500,gs@barijmunitions.ae,Abu Dhabi,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,93062190,- - - Other,,- - - غيرها ,2520004,صناعة الذخائر الحربية,Military Ammunition Manufacturing
,BASELINE BOLTS INDUSRIES LLC,بيس لاين لصناعة البراغي ذ م م ,067670399,lathif@baselinebolt.ae,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73181500,"- - Other screws and bolts, whether or not with their nuts or washers ",,ـ ـ براغي وبراغي بصواميل أُخر ، وإن كانت مع عزقاتها أو حلقاتها,2599401,صناعة منتجات ماكينات الربط,Screw Machines Products Manufacturing
,BATEEL FACTORY SWEETS AND CHOCOLATE (BR OF BATEEL INTERNATIONAL (L.L.C.)),مصنع بتيل للحلويات والشوكولاته (فرع من بتيل انترناشيونال (ش . ذ. م. م)),048858737,emad@bateel.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,21039090,- - - Other,,- - - غيرها ,1071002,صناعة المنتجات الطازجة من المعجنات والفطائر والمخبوزات المحشوة,"Fresh Products, Pastry, and Baked Stuffed Manufacturing"
,,,,,,04090000,Natural honey. ,,عسل طبيعي.,1071005,صناعة منتجات المخابز الجافة,Dry Bakery Products Manufacturing
,,,,,,08135000,- Mixtures of nuts or dried fruits of this Chapter,,- مخاليط من أثمار قشرية أو فواكه مجففة من الانواع المذكورة في هذا الفصل ,1030003,صناعة المنتجات الغذائية من الفاكهة أو الخضر,Fruit or Vegetables Food Products Manufacturing
,,,,,,08041010,- - - Fresh,,- - - طازج  (رطب) ,1073102,صناعة الشيكولاته وحلوي الشيكولاته,Chocolate and Chocolate Confectionery Manufacturing
,,,,,,19059093,"- - - - Ordinary biscuits, whether or not salted",,- - - - بسكويت عادي وان كان مملح ,1071008,صناعة منتجات الوجبات الخفيفة,Snack Products Manufacturing
,,,,,,19059030,"- - -Pastry, including pizzas",,- - - فطائر، بما فيها فطائر (البيتزا) ,,,
,,,,,,20079919,- - - - Other,,- - - - غيرها ,,,
,,,,,,19021990,- - - Other,,- - - غيرها ,,,
,,,,,,18069010,- - - Powders for making ice-cream containing cocoa,,- - -  مساحيق تحضير الايسكريم، محتوية علي كاكاو ,,,
,,,,,,18063190,- - - Other,,- - - غيرها ,,,
,,,,,,17049090,- - - Other,,- - - غيرها ,,,
,,,,,,20098990,Other,,غيرها,,,
,,,,,,08041090,"Dates other than fresh, dried or stored.",,"تمر عدا الطازج , المجفف , المكنوز",,,
,BATH TECH SANITARY WARE INDUSTRY LLC,باث تك لصناعة  الادوات الصحية ذ.م.م,0564460782,sanitech.me@gmail.com,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,40170030,  - - - Sanitary wares for bathrooms and the like,,- - - أصناف صحية للحمامات وما يماثلها ,2220903,صناعة أدوات صحية من الألياف الزجاجية,Fiberglass Sanitary Ware Manufacturing
,,,,,,79070070,- - - Sanitary ware,,- - - أدوات صحية,,,
,BAUTECH CHEMICAL INDUST LLC,باوتيك للصناعات الكيميائية (ذ.م.م),067441150,info@bautechindustries.com,Ajman,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,38244000,"- Prepared Additives for cements, mortars or concretes",,ـ محضرات تضاف  للاسمنت أو الملاط أو الخرسانة ,2011010,صناعة المركبات الكيماوية غير عضوية,Inorganic Chemical Compounds Manufacturing
,,,,,,35061000,"- Products suitable for use as glues or adhesives put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg ",,ـ منتجات  صالحة للاستعمال كغراء أو كمواد لاصقة، مهيأة للبيع بالتجزئة كغراء أو كمواد لاصقة، لا يتجاوز وزنها الصافي 1 كغ ,,,
,BAZELT OSAN JEWELLERS FACTORY,مصنع بازلت اوسان للمجوهرات,0504979490,bazeltjewel@yahoo.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,71131910, - - - Of gold,,- - - من ذهب ,3211004,صناعة مجوهرات من معادن ثمينة,Precious Metal Jewellery Manufacturing
,,,,,,,,,,2432001,سبك مسبوكات المعادن الثمينة,Casting of Precious Metal Castings
,BEAM ENG. & CONST. GULF CO. LTD. SHJ. BR. - BRANCH 2,شركة بيم للهندسة والانشاءات - الخليج - المحدودة - فرع الشارقة - فرع 2,050-9324414,khalid4414@gmail.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39173100," - - Flexible tubes pipes and hoses, having a minimum burst pressure of 27.6 MPa ",,ـ ـ أنابيب ومواسير وخراطيم مرنة يمكن أن تتحمل على الأقل درجة ضغط 6ر27  مللي بار (MPa),2395004,صناعة المنتجات الأسمنتية المقواة بالألياف الزجاجية,Fiber Glass Cement Products Manufacturing
,,,,,,38160000,"Refractory cements, mortars, concretes and similar compositions, including dolomite ramming mix, other than products of heading 38.01.",,إسمنت وملاط وخرسانة ومركبات مماثلة متحملة للحرارة، بما فيها خلطة الدولوميت الجاهزة لتبطين الأفران، عدا منتجات البند 38.01 .,2220148,صناعة المنتجات البلاستيكية المقواة بالألياف الزجاجية,Glass Fibre-fortified Tube Outfits Manufacturing
,,,,,,70199020,- - - Water tanks,,- - - خزانات المياه ,,,
,,,,,,76109060,- - - Decoration tiles for ceilings,,- - - بلاط أسقف للديكور ,,,
,BEAUFORT RAK LLC,بيفورت راك ش ذ م م,072446832,info@beaufortrak.com,Ras Al Khaimah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,96190010,  - - - Napkins for babies,,- - - حفاضات أطفال,1709009,صناعة المناشف الصحية والسدادات القطنية وحفاظات الأطفال وبطانتها,"Sanitary Towels, Tampons, and Babies Napkins and Its Liners Manufacturing"
,,,,,,96190020,  - - - Feminine pads,,- - - حفاضات نسائية ,,,
,BEAUTY & PERFUME INTERNATIONAL FACTORY L.L.C,بيوتي اند برفيوم انترناشيونال فاكتوري ش ذ م م ,048525925,info@beautyandperfumeintl.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,33030010,"  - - - Perfumrs, Liquid or solid",, - - - عطور (بارفيوم) السائلة أو الجامدة ,2023008,صناعة العطور وماء التواليت,Perfumes and Toilet Water Manufacturing
,,,,,,33013010,   - - - Dehn Al- Oud (wood resinoids),,- - -  دهن العود,2023023,صناعة مستحضرات تعطير الغرف وإزالة الروائح منها,Deodorizing Rooms Preparations Manufacturing
,,,,,,33013090,- - -  Other,, - - - غيره ,2023012,صناعة مستحضرات التجميل والتزيين,Beauty and Make-Up Preparations Manufacturing
,,,,,,33012900,  - - Other,, - - غيرها ,,,
,,,,,,38089490, - - - Other,, - - - غيرها,,,
,,,,,,33059090,  - - - Other,, - - - غيرها  ,,,
,,,,,,33061010,  - - - Toothpastes,, - - - معاجين الأسنان ,,,
,,,,,,33049990,  - - - Other,, - - - غيرها ,,,
,,,,,,33051000,- Shampoos,,- شامبو ,,,
,,,,,,33059020,  - - - Hair cream,, - - - كريم الشعر ,,,
,,,,,,33059010,  - - - Hair Oil,, - - - زيوت الشعر ,,,
,,,,,,33049940,  - - - Preparations for face make-up and make-up removers,, - - - محضرات لطلاء الوجه ومعاجين ومحضرات نزع  الطلاء ,,,
,,,,,,33049930,  - - - Skin softening preparations,, - - - محضرات تطرية الجلد ,,,
,,,,,,33049110,  - - - Baby powders,, - - - بودرة الأطفال ,,,
,,,,,,33049190,  - - - Other,, - - - غيرها ,,,
,,,,,,33049910,  - - - Toilet vinegar,, - - - خل للزينة ,,,
,,,,,,33030090,  - - - Other,, - - - غيرها ,,,
,,,,,,33072000,- Personal deodorants and antiperspirants,,- مزيلات الروائح الجسدية والعرق ومانعات التعرق ,,,
,,,,,,34011180,"   - - - Toilet soaps, whether or not  coloured ,perfumed, abrasive or disinfectant, such as Lux, Camay, etc",,   ـ ـ ـ صابون تواليت  وإن كان ملوناً أو معطراً أو شاحذا أو مطهراً ، (مثل اللوكس والكامي  ),,,
,,,,,,33079090,  - - - Other,, - - - غيرها ,,,
,,,,,,34022022,   - - - - Liquid,,   - - - - سائلة ,,,
,,,,,,34029000, - Other,,ـ غيرها ,,,
,,,,,,34013000,"- Organic suface- active products and preparations for washing the skin, in the form of liguid or cream and put for retail sale, whether or not containing soap",, -  منتجات ومحضرات غواسل عضوية لغسل الجلد علي هيئة سائل أو كريم مهيأة للبيع بالتجزئة، وان احتوت على صابون,,,
,,,,,,47079090,- - - Other,,- - - غيرها ,,,
,BEAUTY VISION COSMETICS MANUFACTURING LLC,بيوتي فيجن لصناعة مستحضرات التجميل ش.ذ.م.م,050-9984748,info@unicareakad.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,33049940,  - - - Preparations for face make-up and make-up removers,, - - - محضرات لطلاء الوجه ومعاجين ومحضرات نزع  الطلاء ,2023012,صناعة مستحضرات التجميل والتزيين,Beauty and Make-Up Preparations Manufacturing
,,,,,,33049930,  - - - Skin softening preparations,, - - - محضرات تطرية الجلد ,,,
,,,,,,33059030,  - - - Hair dyeing preparations,, - - - محضرات صبغ الشعر ,,,
,,,,,,33030010,"  - - - Perfumrs, Liquid or solid",, - - - عطور (بارفيوم) السائلة أو الجامدة ,,,
,BECKER INDUSTRIAL COATINGS LLC,شركة بيكر للطلاءات الصناعية ذ م م,072278853,najeeb.pareethu@beckers-group.com,Ras Al Khaimah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,32081090,  - - - Other,, - - - غيرها ,2022001,صناعة الدهانات والملمعات,Paints and Varnishes Manufacturing
,,,,,,32099010,  - - - Varnish,, - - - ورنيش ,,,
,BEIRUT WOOD INDUSTRIES L.L.C,بيروت للصناعات الخشبية ذ.م.م,0506460896,siink2009@hotmail.com,Ajman,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39252000,"- Doors, windows and their frames and thresholds for doors",,ـ أبواب ونوافذ وأُطرها وعتبات الأبواب,1622001,صناعة  الابواب والنوافذ ومصاريعها واطرها الخشبية,"Wooden Doors, Windows, Shutters and Their Frames Manufacturing"
,BELHASA JOINERY &DECORATION CO L.L.C,شركة بالحصا للنجارة والديكور (ش.ذ.م.م) - فرع,042677252,info@belhasajoinery.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,44182000,- Doors and their frames and thresholds,,- أبواب وأطرها وعتباتها ,3100001,صناعة الأثاث المنزلي,House Furniture Manufacturing
,,,,,,94035090,- - - Other,,- - - غيرها ,1622002,صناعة الابواب الخشبية مقاومة للحريق,Fireproof Wooden Doors Manufacturing
,,,,,,,,,,1629911,صناعة منتجات الديكور الخشبية,Wooden Decorative Products Manufacturing
,,,,,,,,,,1622001,صناعة  الابواب والنوافذ ومصاريعها واطرها الخشبية,"Wooden Doors, Windows, Shutters and Their Frames Manufacturing"
,BELLOMASSI FOOD INDUSTRIES L.L.C,بيلوماسي للصناعات الغذائية ذ.م.م,0558182778,pro@bellomassifoods.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,16010030, - - - Of poultry,, - - - من دواجن,1010901,تجهيز وتهيئة لحوم الدواجن,Poultry Meats Preparation
,,,,,,02013000,- Boneless,,- دون عظام,1010102,إنتاج منتجات اللحوم,Meat Products Manufacturing
,BENCHMARK FOODS L.L.C,بنشي مارك للأغذية ذ.م.م,056-9955814,qa@benchmarkfoods.ae,Ajman,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,16010030, - - - Of poultry,, - - - من دواجن,1010902,إنتاج منتجات لحوم الدواجن,Poultry Products Production
,BERG ENG.CO.LLC,شركة الجبل الجليدي الهندسية ذ.م.م,0504828155,pro@bergengg.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,72081000,"- in coils, not further worked than hot-rolled, with patterns in relief",,- بشكل لفات ، غير مشغولة أكثر من التجليخ بالحرارة ، ذات علامات سطحية بارزة ,2511003,صناعة الأطر والهياكل المعدنية اللازمة للتشييد وأجزاء منها,Construction Metal Framework and  Skeletons and Parts thereof Manufacturing
,,,,,,73152000,- Skid chain,, - سلاسل مانعة للإنزلاق,,,
,,,,,,73090090,- - - Other,,- - - غيرها ,,,
,,,,,,73269094, - - - - Portable ladders and steps,,- - - - سلالم ودرجات نقالة ,,,
,,,,,,87089200,- - Silencers (mufflers) and exhaust pipes; parts thereof,,ـ ـ كاتمات الصوت ومواسير عادم؛ أجزاؤها,,,
,,,,,,90261000,- For measuring or checking the flow or level of liquids,,ـ لقياس أو لمراقبة أو فحص جريان أو إرتفاع السوائل ,,,
,,,,,,85182900,"Loudspeakers, other than single loudspeakers mounted in their enclosures or multiple loudspeakers mounted in the same enclosure.",, مكبرات صوت، وإن كانت مركبة في هياكلها (غ.م.ك),,,
,BERG INDUSTRIES LLC,بيرج للصناعات ش.ذ.م.م,0504828155,pro@bergengg.com,Ras Al Khaimah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,76169930,  - - - Non-mechanical ventilators,,- - - فتحات التهوية غير الآلية  ,2592001,الطلاء بالمعادن,Metal Coating
,,,,,,73090090,- - - Other,,- - - غيرها ,2824010,صناعة معدات حقول النفط والغاز,Oil and Gas fields Equipment Manufacturing
,,,,,,73229000,- Other,,- غيرها ,2512006,صناعة مراجل ومشعات التدفئة المركزية,Central Heating Boilers and Radiators Manufacturing
,,,,,,72081000,"- in coils, not further worked than hot-rolled, with patterns in relief",,- بشكل لفات ، غير مشغولة أكثر من التجليخ بالحرارة ، ذات علامات سطحية بارزة ,2512001,صناعة الخزانات والصهاريج والأوعية المماثلة من المعدن المثبتة,"Metal Reservoirs, Tanks and Similar Containers Installed as Fixtures Manufacturing"
,,,,,,90261000,- For measuring or checking the flow or level of liquids,,ـ لقياس أو لمراقبة أو فحص جريان أو إرتفاع السوائل ,2819908,Heat Exchangers Manufacturing,Heat Exchangers Manufacturing
,,,,,,,,,,2511003,صناعة الأطر والهياكل المعدنية اللازمة للتشييد وأجزاء منها,Construction Metal Framework and  Skeletons and Parts thereof Manufacturing
,BERGER PAINTS EMIRATES LTD CO LLC,شركة اصباغ بيرجر الامارات المحدودة (ذ.م.م),043391000,ringo@binsulayem.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,32099090,  - - - Other,, - - - غيرها ,2022001,صناعة الدهانات والملمعات,Paints and Varnishes Manufacturing
,,,,,,32110000,Prepared driers. ,,مجففات محضرة.  ,,,
,,,,,,32089090,  - - - Other,, - - - غيره,,,
,BESPOKE MODULAR MANUFACTURING LLC,بيسبوك مديولر للصناعة ش ذ م م ,043322262,yumsheed.keynes@gmail.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,87115000,"Motorcycles (including mopeds) & cycles fitted with an auxiliary motor, with or without side-cars, with internal combustion piston engine of a cylinder capacity exceeding 800 cc.",,دراجات نارية موتوسيكل، بما فيها الدراجات العادية بمحركات ثابتة ودراجات عادية مزودة بمحركات إضافية، مجهزة بمحركات ذات مكابس للإشتعال الداخلي تتجاوز سعة اسطواناتها 800 سم3.,2920902,تجهيز جميع أنواع المركبات ذات المحرّكات,All Types of Motor Vehicles Outfitting
,,,,,,87141900,"Parts & accessories of motorcycles (including mopeds), excluding saddles.",,"أجزاء ولوازم للعربات الداخلة في البنود من 87.11 لغاية 87.13, للدراجات النارية (بما في ذلك الدراجات العادية بمحركات ثابتة)",2920101,صناعة المركبات المقطورة ونصف المقطورة,Trailers and Semi-Trailers Manufacturing
,,,,,,,,,,2920106,صناعة الحاويات المحمّلة على أحد أنواع وسائط النقل,Transport Modes Carriage Containers Manufacturing
,Best Choice Floors Protection Manufacturing L.L.C,الاختيار الافضل لصناعة حماية الارضيات (ش.ذ.م.م.),04-3396669,Info@bchoicefloor.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39189000,- Of Other Plastics,,ـ من لدائن أُخر ,1701003,تجهيز ومعالجة الورق والورق المقوى,Paper and Paperboard Processing
,,,,,,48081000,"- Corrugated paper and papcrboard, whether or not perforated",,- ورق وورق مقوى مموج وإن كان مثقباً ,,,
,,,,,,48070000,"Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surface-coated or impregnated, whether or not internally reinforced, in rolls or sheets .",,ورق وورق مقوى، مجمع (مصنع  بلصق طبقات مسطحة من الورق أو الورق المقوى معا بمادة لاصقة)، غير مطلي السطح ولا مشرب، وإن كان مقوى من الداخل، بشكل لفات أو صفائح .,,,
,Best Choice Industries L.L.C,الإختيار الافضل للصناعات ذ.م.م,048855422,ashraf@bcillc.ae,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73269030,  - - - Non-mechanical ventilators,,- - - فتحات التهوية غير الآلية ,2511010,صناعة أُطر صناعية من معادن,Metal Industrial Frameworks Manufacturing
,BEST FOOD CO (L.L.C.),شركة الاطعمة الممتازة (ذ.م.م.),042676204,murad@bestfoodco.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,08135000,- Mixtures of nuts or dried fruits of this Chapter,,- مخاليط من أثمار قشرية أو فواكه مجففة من الانواع المذكورة في هذا الفصل ,1073102,صناعة الشيكولاته وحلوي الشيكولاته,Chocolate and Chocolate Confectionery Manufacturing
,,,,,,,,,,1030015,تحميص الجوزيات,Nuts Roasting
,BEST FOOD CO. (L.L.C) BRANCH,شركة الاطعمة الممتازة (ذ.م.م) (فرع),0506764515,murad@bestfoodco.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,20081919,- - - - Other,,- - - - غيرها ,1073102,صناعة الشيكولاته وحلوي الشيكولاته,Chocolate and Chocolate Confectionery Manufacturing
,,,,,,20081911,- - - - Almonds,,- - - - لوز ,1030015,تحميص الجوزيات,Nuts Roasting
,,,,,,20081912,- - - - Pistachios,,- - - - فستق ,,,
,BEST GULF INDUSTRIES L.L.C,بست جلف للصناعات ذ.م.م,056-5741490,ani@bestgulf.ae,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73089030,   - - - Angles and ties for fastening decoration tiles in ceilings,,- - - زوايا ومرابط لربط بلاط الديكور في الأسقف,2816009,صناعة المصاعد والسلالم والمشّايات المتحركة,"Lifts, Escalators and Moving Walkways Manufacturing"
,BEST LINE FOOD MANUFACTURING LLC,بست لين لصناعة الاغذية ذ م م,0529951121,m.tc1983s@gmail.com,Ajman,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,33019013, - - - - Rose water,,  - - - - ماء ورد ,1079017,صناعة الخل,Vinegar Manufacturing
,,,,,,22090010,- - - Vinegar,,- - - خل ,,,
,,,,,,09109100,- - Mixtures referred to in Note 1 (b) to this Chapter ,,- - مخاليط مذكورة في الملاحظة 1/ ب من هذا الفصل ,,,
,BESTON WOOD INDUSTRIES L.L.C,مصنع بيستون للاخشاب ذ م م,0527050397,info@bestonwoods.com,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,44152000,"- Pallets, box pallets and other load boards; pallet collars ",, - طبليات وطبليات صناديق وألواح تحميل اخر وأطواق طبليات,1610008,نشر وسحج وتشغيل الأخشاب,"Wood Sawing, Planing and Machining"
,,,,,,44071190,- - - Other,,- - - غيره,,,
,,,,,,44039990, - - - Other,,- - - غيرها ,,,
,,,,,,44034990, - - - Other,,- - - غيرها ,,,
,Beta industrial LLC,بيتا الصناعية (ذ.م.م.),047069777,raed.khalid@betait.net,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,72111300," - - Rolled on four faces or in a closed box pass, of a width exceeding 150 mm and a thickness of not less than 4 mm, not in coils and without patterns in relief ",,- - مجلخة على جوانبها الأربع داخل مجاري مقفلة ، بعرض يزيد عن 150 مم وبأسماك لا يقل عن 4 مم ، ليست بشكل لفات وبدون علامات سطحية بارزة ,2512001,صناعة الخزانات والصهاريج والأوعية المماثلة من المعدن المثبتة,"Metal Reservoirs, Tanks and Similar Containers Installed as Fixtures Manufacturing"
,,,,,,84185000," - Other furniture (chests, cabinets, display counters, show-cases and the like) for storage and display, incorporating refrigerating or 0%zing equipment",, - أثاث آخر (صناديق وخزائن وكونترات عرض وواجهات عرض وما يماثلها) للحفظ والعرض مشتملة على أجهزة تبريد أو تجميد ,2512008,صُنع الأوعية المعدنية للغاز المضغوط أو المسيَّل,Compressed or Liquefied Gas Metal Containers Manufacturing
,,,,,,76169930,  - - - Non-mechanical ventilators,,- - - فتحات التهوية غير الآلية  ,2819201,صناعة أجهزة تكييف الهواء,Air-Conditioning Machines Manufacturing
,BETEC CAD INDUSTRIES L.L.C,بيتك كاد اندستريز ذ.م.م,055-2212806,malik@beteccad.com,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,84799000,- Parts,,- أجزاء ,2819204,صناعة  لوازم تكييف الهواء,Air Conditioners Requisites Manufacturing
,,,,,,84159000, - Parts,,- أجزاء ,,,
,,,,,,84158390, - - - Other ,,- - - غيرها                         ,,,
,BETHESDA FURNITURE FACTORY L.L.C,مصنع بد ستا للمفروشات ذ.م.م,055-3575733,BETHESDAFURNITURE@OUTLOOK.COM,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,63012000,"- Blankets (other than electric blankets) and travelling rugs, of wool or of fine animal hair",,- بطانيات (عدا الكهربائية) ، وأحرمة ، من صوف أو من وبر ناعم ,3100009,صناعة المراتب,Mattresses Manufacturing
,,,,,,63013000,"- Blankets (other than electric blankets) and travelling rugs, of cotton",,- بطانيات (عدا الكهربائية) ، وأحرمة ، من قطن ,,,
,,,,,,63014000,"- Blankets (other than electric blankets) and travelling rugs, of synthetic fibres",,- بطانيات (عدا الكهربائية) ، وأحرمة ، من ألياف تركيبية  ,,,
,,,,,,63019000,- Other blankets and travelling rugs,,- بطانيات وأحرمة أخر ,,,
,,,,,,63022100,- - Of cotton,,- - من قطن ,,,
,,,,,,63022200,- - Of man-made fibres,,- - من ألياف إصطناعية,,,
,,,,,,63022900,- - Of other textile materials ,,- - من مواد نسجية أخر ,,,
,,,,,,63023100,- - Of cotton,,- - من قطن ,,,
,,,,,,63023200,- - Of man-made fibres,,- - من ألياف إصطناعية,,,
,,,,,,63023900,- - Of other textile materials ,,- - من مواد نسجية أخر ,,,
,,,,,,63029130,  - - -  End - joined towels to be hanged on a reel,,- - - مناشف متصلة الأطراف تعلق على بكرة دواره ,,,
,,,,,,44091060," - - - Moulded wood (frame sticks, mouldings or beadings),such as are usedfor the manufacture of picture frames, decoration of walls furniture, doors and other carpentry or joinery works",,- - - خشب مقولب (عيدان أطر أو طنوف) مما يستعمل في صنع أطر الصور وزخرفة الجدران والأثاث والأبواب وأعمال النجارة الأخر ,,,
,,,,,,94049030,- - - Cushions and pouffes seats,,- - - مساند ومقاعد (بوف) ,,,
,,,,,,94042990,- - - Other,,- - - غيرها ,,,
,,,,,,94049010,- - - Quilets,,- - - لحف ,,,
,,,,,,94042110,  - - - Mattresses with springs,,- - - مراتب بنوابض,,,
,BETUVA INSULATION MAT. IND. LLC SOLE PROPRITORSHIP,بيتوفا لصناعة المواد العازلة ذ.م.م - شركة الشخص الواحد,0505050767,info@betuva.ae,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,22019010,- - - Ordinary natural waters,,- - - مياه عادية طبيعية ,2022003,صناعة مركبات السد الغير حراري وما يماثلها,Caulking Compounds and Similar Manufacturing
,,,,,,32100090,  - - - Other,, - - - غيرها ,,,
,,,,,,28353100, - - Sodium triphosphate ( sodium tripolyphosphosphate ),,- - ثالث فوسفات الصوديوم (ثالث بولي فوسفات الصوديوم ) ,,,
,,,,,,27150000,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (for example, bituminous mastics, cut-backs).",,مخاليط قارية أساسها الاسفلت أو القار الطبيعيان أو القار النفطي أو القار المعدني أو زفت القطران المعدني (معاجين قارية ومعاجين كت - باك ، مثلا) .,,,
,,,,,,32073000,- Liquid lustres and similar preparations,,- دهانات لامعه سائلة ومحضرات مماثلة ,,,
,,,,,,28353900,"Polyphosphates, other than sodium triphosphate (sodium tripolyphosphate).",," بولي فوسفات عدا ثالث فوسفات الصوديوم (ثالث بولي فوسفات الصوديوم) ,وإن كان محددة الصفات كيماوياً.",,,
,BILAL INDUSTRIES (L.L.C),بلال للصناعات (ذ.م.م),0504535461,zafariqbal47@yahoo.com,Ajman,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73066000,"Tubes, pipes & hollow profiles, welded, of non-circular cross-section, of iron or steel, n.e.s.",, مواسير و أنابيب وأشكال خاصة (بروفيلات) مجوفة أُخر، ، ملحومة ذات مقطع غير دائري,2591006,تشكيل المعادن بالطرق والكبس والختم والدلفنة,"Metal Forging, Pressing, Stamping and Roll-Forming"
,,,,,,,,,,2410109,صناعة وصلات الأنابيب الصلب بكافة أنواعها,Steel Tubes Fittings of All Kinds Manufacturing
